R64,R32,S16,E8,F4,NCG
8LSU-64.4%,6BYU-20.5%,5Colorado-6.5%,8LSU-2.1%,5Colorado-0.7%,5Colorado-0.3%
6San Diego State-58.2%,7UConn-15.0%,7Oregon-6.2%,6San Diego State-2.0%,6USC-0.6%,9Wisconsin-0.3%
7Clemson-57.5%,7Oregon-14.7%,8LSU-5.8%,6USC-1.7%,8LSU-0.6%,7Oregon-0.3%
8Oklahoma-57.2%,12Georgetown-14.0%,8North Carolina-5.5%,5Creighton-1.6%,8Loyola Chicago-0.6%,8Loyola Chicago-0.3%
5Colorado-57.1%,11Syracuse-13.1%,7Florida-4.4%,8Loyola Chicago-1.6%,9Wisconsin-0.6%,6USC-0.3%
7UConn-56.4%,8LSU-12.4%,7Clemson-4.4%,9Wisconsin-1.4%,6BYU-0.6%,6BYU-0.3%
8Loyola Chicago-56.1%,7Clemson-12.0%,11Syracuse-4.3%,7Clemson-1.4%,7Florida-0.5%,6San Diego State-0.3%
8North Carolina-53.6%,7Florida-10.6%,5Creighton-4.0%,7Florida-1.4%,7Oregon-0.5%,7Florida-0.3%
7Florida-53.4%,13Ohio-10.1%,8Loyola Chicago-3.8%,7Oregon-1.3%,7Clemson-0.5%,11Syracuse-0.3%
10Virginia Tech-46.6%,8North Carolina-9.8%,9Wisconsin-3.4%,11Syracuse-1.2%,11Syracuse-0.5%,12Georgetown-0.2%
9Wisconsin-46.4%,10Maryland-8.6%,12Georgetown-3.1%,12Georgetown-1.2%,12Georgetown-0.4%,11UCLA-0.2%
9Georgia Tech-43.9%,11UCLA-8.3%,10Virginia Tech-3.0%,9Georgia Tech-1.0%,9Georgia Tech-0.4%,7Clemson-0.2%
10Maryland-43.6%,10Virginia Tech-8.0%,10Maryland-3.0%,11UCLA-0.9%,8Oklahoma-0.4%,9Georgia Tech-0.2%
12Georgetown-42.9%,12Winthrop-7.8%,11UCLA-2.6%,8Oklahoma-0.9%,11UCLA-0.3%,8Oklahoma-0.2%
9Missouri-42.9%,10Rutgers-7.8%,9Georgia Tech-2.3%,9St. Bonaventure-0.8%,10Virginia Tech-0.3%,16Drexel-0.2%
10Rutgers-42.5%,8Loyola Chicago-7.5%,10Rutgers-2.3%,10Maryland-0.8%,10Maryland-0.3%,10Virginia Tech-0.2%
11Syracuse-41.8%,12UCSB-7.3%,8Oklahoma-2.1%,10Virginia Tech-0.8%,9Missouri-0.3%,9Missouri-0.1%
9St. Bonaventure-35.6%,9Wisconsin-7.1%,9St. Bonaventure-2.1%,9Missouri-0.6%,16Drexel-0.3%,10Maryland-0.1%
10VCU-34.8%,11Utah State-6.4%,10VCU-1.7%,10Rutgers-0.6%,9St. Bonaventure-0.3%,10Rutgers-0.1%
11UCLA-34.2%,13Liberty-5.5%,11Utah State-1.6%,16Drexel-0.5%,10Rutgers-0.2%,9St. Bonaventure-0.1%
12UCSB-27.7%,10VCU-5.4%,14Colgate-1.6%,12Winthrop-0.5%,16Norfolk St-0.2%,16Hartford-0.1%
12Winthrop-26.9%,9Georgia Tech-5.3%,9Missouri-1.4%,14Colgate-0.5%,12Oregon State-0.2%,12Oregon State-0.1%
11Utah State-23.9%,14Colgate-5.2%,11Drake-1.2%,11Utah State-0.5%,13Ohio-0.2%,13Ohio-0.1%
13Ohio-23.2%,9St. Bonaventure-5.1%,12Winthrop-1.2%,16Hartford-0.4%,14Colgate-0.2%,16Norfolk St-0.1%
12Oregon State-21.6%,12Oregon State-4.8%,13Liberty-1.1%,12Oregon State-0.4%,16Hartford-0.2%,11Utah State-0.1%
11Drake-21.3%,11Drake-4.7%,15Grand Canyon-1.1%,13Ohio-0.4%,12Winthrop-0.2%,12Winthrop-0.1%
13Liberty-15.7%,8Oklahoma-4.4%,13Ohio-1.1%,10VCU-0.4%,11Utah State-0.2%,13Liberty-0.1%
14Colgate-15.4%,13North Texas-3.6%,12Oregon State-1.1%,13Liberty-0.4%,13Liberty-0.2%,14Colgate-0.1%
13North Texas-12.5%,13UNC Greensboro-3.3%,15Iona-1.0%,16Texas Southern-0.4%,16Texas Southern-0.2%,15Cleveland State-0.1%
13UNC Greensboro-10.9%,9Missouri-3.2%,15Cleveland State-1.0%,16Norfolk St-0.4%,10VCU-0.2%,10VCU-0.1%
14Abil Christian-8.6%,14Abil Christian-3.0%,14Abil Christian-0.9%,11Drake-0.4%,15Cleveland State-0.2%,11Drake-0.1%
14Morehead State-8.2%,14Morehead State-2.5%,15Oral Roberts-0.9%,14Abil Christian-0.4%,11Drake-0.2%,12UCSB-0.1%
14E Washington-7.9%,14E Washington-2.5%,16Drexel-0.9%,12UCSB-0.3%,12UCSB-0.2%,15Grand Canyon-0.1%
15Iona-6.1%,15Grand Canyon-2.3%,12UCSB-0.8%,15Grand Canyon-0.3%,15Grand Canyon-0.2%,14Abil Christian-0.1%
15Grand Canyon-5.8%,15Iona-2.3%,13UNC Greensboro-0.8%,15Iona-0.3%,15Iona-0.1%,14Morehead State-0.1%
15Cleveland State-5.1%,15Cleveland State-2.0%,13North Texas-0.8%,15Cleveland State-0.3%,14Abil Christian-0.1%,15Iona-0.1%
15Oral Roberts-4.8%,15Oral Roberts-1.9%,14Morehead State-0.8%,13UNC Greensboro-0.3%,14Morehead State-0.1%,15Oral Roberts-0.1%
16Drexel-3.7%,16Drexel-1.6%,16Hartford-0.8%,13North Texas-0.3%,15Oral Roberts-0.1%,16Texas Southern-0.1%
16Hartford-3.4%,16Hartford-1.4%,14E Washington-0.7%,14Morehead State-0.3%,13UNC Greensboro-0.1%,13UNC Greensboro-0.1%
16Texas Southern-3.1%,16Texas Southern-1.3%,16Texas Southern-0.7%,15Oral Roberts-0.3%,13North Texas-0.1%,13North Texas-0.1%
16Norfolk St-2.7%,16Norfolk St-1.2%,16Norfolk St-0.7%,14E Washington-0.3%,14E Washington-0.1%,14E Washington-0.1%
